CompanyID,CompanyName,Sector,Location,Year,CO2,CH4,N2O,Electricity,FossilFuels,Renewables,Year,RecycledWaste,LandfillWaste,CompostedWaste
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,1761.63,4148.96,802.32,2015,295.81,773.86,287.85
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,1761.63,4148.96,802.32,2016,264.2,525.83,240.96
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,1761.63,4148.96,802.32,2017,590.37,386.38,109.84
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,1761.63,4148.96,802.32,2018,673.8,271.93,285.72
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,1761.63,4148.96,802.32,2019,777.8,700.02,136.12
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,1761.63,4148.96,802.32,2020,418.92,318.25,224.04
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,7303.7,1295.76,855.45,2015,295.81,773.86,287.85
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,7303.7,1295.76,855.45,2016,264.2,525.83,240.96
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,7303.7,1295.76,855.45,2017,590.37,386.38,109.84
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,7303.7,1295.76,855.45,2018,673.8,271.93,285.72
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,7303.7,1295.76,855.45,2019,777.8,700.02,136.12
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,7303.7,1295.76,855.45,2020,418.92,318.25,224.04
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,3992.61,4494.3,2032.46,2015,295.81,773.86,287.85
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,3992.61,4494.3,2032.46,2016,264.2,525.83,240.96
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,3992.61,4494.3,2032.46,2017,590.37,386.38,109.84
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,3992.61,4494.3,2032.46,2018,673.8,271.93,285.72
1,"Reid, Reilly and Martin",Energy,Christinafort,2015,422.45,20.51,20.99,3992.61,4494.3,2032.46,2019,777.8,700.02,136.12
